task_id,difficulty,condition,repeat,model,test_passed,partial_pass_rate,num_turns,total_cost_usd,duration_ms,input_tokens,output_tokens,is_error,budget_hit,compliance,loc
002_reverse_string,easy,formal_lite,1,minimaxm27,True,1.0,7,0.1556526,30402,31189,820,False,False,True,7
010_binary_tree_level_order,medium,formal_lite,1,minimaxm27,False,0.8,15,0.5886167999999999,187930,34478,3737,False,False,True,36
002_reverse_string,easy,baseline,1,minimaxm27,True,1.0,11,0.1804337999999999,50991,31692,1015,False,False,True,7
003_valid_parentheses,easy,meow_lite,1,minimaxm27,True,1.0,8,0.1702854,33436,33726,707,False,False,True,14
005_palindrome_number,easy,baseline,1,minimaxm27,True,1.0,9,0.1846104,39372,31565,1371,False,False,True,22
008_longest_substring,medium,formal_lite,1,minimaxm27,True,1.0,7,0.1550694,30543,33488,1033,False,False,True,15
008_longest_substring,medium,formal_plus,1,minimaxm27,True,1.0,8,0.145557,30160,30999,848,False,False,False,21
016_trapping_rain_water,hard,baseline,1,minimaxm27,True,1.0,7,0.1729608,35992,33802,842,False,False,True,24
002_reverse_string,easy,meowmax,1,minimaxm27,True,1.0,9,0.1647173999999999,37581,33801,932,False,False,True,7
007_group_anagrams,medium,formal_plus,1,minimaxm27,True,1.0,7,0.1597644,28122,33643,1315,False,False,False,13
009_lru_cache,medium,formal_lite,1,minimaxm27,True,1.0,31,0.5746673999999998,155883,42551,3837,False,False,True,59
014_product_except_self,medium,formal_plus,1,minimaxm27,True,1.0,9,0.1721268,53366,31405,1853,False,False,True,21
018_serialize_binary_tree,hard,meow_lite,1,minimaxm27,True,1.0,11,0.2199876,80222,32591,2075,False,False,True,29
003_valid_parentheses,easy,formal_lite,1,minimaxm27,True,1.0,9,0.1645806,33314,31138,779,False,False,False,14
016_trapping_rain_water,hard,meowmax,1,minimaxm27,True,1.0,7,0.1577856,33277,31139,985,False,False,True,24
020_longest_valid_parentheses,hard,baseline,1,minimaxm27,True,1.0,9,0.1887228,43836,34150,1804,False,False,True,18
007_group_anagrams,medium,baseline,1,minimaxm27,True,1.0,9,0.1747752,34899,33989,923,False,False,True,14
017_word_ladder,hard,meow_lite,1,minimaxm27,True,1.0,9,0.1813884,49523,34402,1232,False,False,True,28
011_sort_colors,medium,baseline,1,minimaxm27,True,1.0,12,0.2428781999999999,78144,34950,1879,False,False,True,17
002_reverse_string,easy,meow_lite,1,minimaxm27,True,1.0,9,0.1989185999999999,47916,34386,1145,False,False,True,7
003_valid_parentheses,easy,baseline,1,minimaxm27,True,1.0,7,0.1503078,25257,33464,689,False,False,True,14
008_longest_substring,medium,meow_lite,1,minimaxm27,True,1.0,8,0.1741884,33276,33881,917,False,False,True,13
012_validate_bst,medium,formal_lite,1,minimaxm27,True,1.0,9,0.1924428,41389,34382,1340,False,False,True,47
016_trapping_rain_water,hard,meow_lite,1,minimaxm27,True,1.0,28,0.6061788,275396,37635,7180,False,False,True,24
004_merge_sorted_lists,easy,meow_lite,1,minimaxm27,True,1.0,8,0.16416,27972,33880,904,False,False,True,20
011_sort_colors,medium,formal_plus,1,minimaxm27,True,1.0,14,0.3477852,79986,36010,1585,False,False,True,14
012_validate_bst,medium,formal_plus,1,minimaxm27,True,1.0,7,0.161184,32431,33820,1364,False,False,True,40
004_merge_sorted_lists,easy,meowmax,1,minimaxm27,True,1.0,9,0.180501,41707,34346,1209,False,False,True,18
006_roman_to_integer,easy,baseline,1,minimaxm27,True,1.0,9,0.1702295999999999,48527,31547,1061,False,False,True,22
016_trapping_rain_water,hard,formal_lite,1,minimaxm27,True,1.0,10,0.2040287999999999,46875,34557,1431,False,False,True,24
015_merge_k_sorted_lists,hard,meow_lite,1,minimaxm27,True,1.0,9,0.1810956,47299,34123,1315,False,False,True,23
015_merge_k_sorted_lists,hard,formal_plus,1,minimaxm27,True,1.0,9,0.175308,39255,31597,1355,False,False,True,23
007_group_anagrams,medium,meow_lite,1,minimaxm27,True,1.0,10,0.308463,98102,32000,1067,False,False,True,14
015_merge_k_sorted_lists,hard,baseline,1,minimaxm27,True,1.0,11,0.3117299999999999,75544,35032,1218,False,False,True,23
005_palindrome_number,easy,formal_lite,1,minimaxm27,False,0.8571,9,0.3154956,94621,34316,1030,False,False,True,19
014_product_except_self,medium,meow_lite,1,minimaxm27,True,1.0,9,0.181848,66183,31536,1176,False,False,True,18
010_binary_tree_level_order,medium,baseline,1,minimaxm27,False,0.8,13,0.2629026,65975,36191,2912,False,False,True,33
014_product_except_self,medium,meowmax,1,minimaxm27,True,1.0,10,0.193011,59409,34311,1378,False,False,True,18
014_product_except_self,medium,baseline,1,minimaxm27,True,1.0,9,0.1924056,46381,34169,1391,False,False,True,18
019_sliding_window_maximum,hard,meowmax,1,minimaxm27,True,1.0,12,0.2244834,54003,34723,1388,False,False,True,30
006_roman_to_integer,easy,meow_lite,1,minimaxm27,False,0.0,10,0.1819902,55002,32124,1697,False,False,True,24
019_sliding_window_maximum,hard,formal_lite,1,minimaxm27,True,1.0,9,0.2090789999999999,75039,34383,1782,False,False,True,29
020_longest_valid_parentheses,hard,meowmax,1,minimaxm27,True,1.0,10,0.2182734,61695,34549,2340,False,False,True,21
012_validate_bst,medium,meowmax,1,minimaxm27,True,1.0,10,0.2124954,63001,32097,2394,False,False,True,43
016_trapping_rain_water,hard,formal_plus,1,minimaxm27,True,1.0,10,0.2111987999999999,67144,34569,1881,False,False,True,24
005_palindrome_number,easy,meowmax,1,minimaxm27,False,0.8571,7,0.154494,29513,33579,979,False,False,True,17
009_lru_cache,medium,formal_plus,1,minimaxm27,True,1.0,9,0.2053224,46411,34637,1491,False,False,True,27
011_sort_colors,medium,formal_lite,1,minimaxm27,True,1.0,9,0.2995061999999999,69020,34517,1244,False,False,True,20
005_palindrome_number,easy,formal_plus,1,minimaxm27,True,1.0,8,0.1646136,48220,33834,930,False,False,False,18
011_sort_colors,medium,meow_lite,1,minimaxm27,True,1.0,8,0.1662744,46373,33788,1048,False,False,True,14
008_longest_substring,medium,baseline,1,minimaxm27,True,1.0,7,0.1658364,33521,33660,1070,False,False,True,17
013_coin_change,medium,meow_lite,1,minimaxm27,True,1.0,8,0.1615206,48058,31295,1854,False,False,True,15
001_two_sum,easy,meow_lite,1,minimaxm27,True,1.0,6,0.159543,29236,33613,656,False,False,False,9
006_roman_to_integer,easy,formal_plus,1,minimaxm27,True,1.0,11,0.2049534,86315,32279,1858,False,False,False,20
009_lru_cache,medium,meowmax,1,minimaxm27,True,1.0,13,0.2245385999999999,57666,35539,1816,False,False,True,25
001_two_sum,easy,meowmax,1,minimaxm27,True,1.0,7,0.1482629999999999,27784,31225,964,False,False,True,9
013_coin_change,medium,baseline,1,minimaxm27,True,1.0,6,0.1663746,38006,33751,1064,False,False,True,15
017_word_ladder,hard,baseline,1,minimaxm27,True,1.0,9,0.1923504,46355,34623,1909,False,False,True,36
004_merge_sorted_lists,easy,formal_plus,1,minimaxm27,True,1.0,11,0.2008914,66658,34578,1169,False,False,False,23
015_merge_k_sorted_lists,hard,formal_lite,1,minimaxm27,True,1.0,9,0.2709354,54844,34413,1329,False,False,True,24
004_merge_sorted_lists,easy,baseline,1,minimaxm27,True,1.0,8,0.1703664,34996,34076,1244,False,False,True,20
001_two_sum,easy,formal_plus,1,minimaxm27,True,1.0,8,0.1668737999999999,47962,31502,1469,False,False,True,9
002_reverse_string,easy,formal_plus,1,minimaxm27,True,1.0,8,0.1594866,32935,33536,651,False,False,True,7
018_serialize_binary_tree,hard,meowmax,1,minimaxm27,True,1.0,7,0.165765,221776,33843,1652,False,False,True,54
003_valid_parentheses,easy,meowmax,1,minimaxm27,True,1.0,8,0.1809569999999999,82742,31190,1205,False,False,True,14
004_merge_sorted_lists,easy,formal_lite,1,minimaxm27,True,1.0,9,0.1599876,36553,31522,1036,False,False,True,20
018_serialize_binary_tree,hard,formal_lite,1,minimaxm27,True,1.0,13,0.2588568,114930,33398,2486,False,False,True,13
006_roman_to_integer,easy,formal_lite,1,minimaxm27,True,1.0,8,0.1747812,31444,33862,952,False,False,True,21
012_validate_bst,medium,meow_lite,1,minimaxm27,True,1.0,9,0.1980792,55421,34620,1672,False,False,True,35
020_longest_valid_parentheses,hard,formal_plus,1,minimaxm27,True,1.0,11,0.2213964,78147,32062,2356,False,False,True,19
013_coin_change,medium,meowmax,1,minimaxm27,True,1.0,8,0.1631172,63175,31197,1317,False,False,True,18
014_product_except_self,medium,formal_lite,1,minimaxm27,True,1.0,15,0.4161216,111050,36534,2135,False,False,True,18
001_two_sum,easy,baseline,1,minimaxm27,True,1.0,9,0.1779755999999999,41559,31499,915,False,False,True,9
008_longest_substring,medium,meowmax,1,minimaxm27,True,1.0,8,0.1910753999999999,40206,34227,1932,False,False,True,13
017_word_ladder,hard,meowmax,1,minimaxm27,True,1.0,13,0.2346336,56622,35691,1761,False,False,True,37
017_word_ladder,hard,formal_plus,1,minimaxm27,True,1.0,9,0.1903439999999999,42405,31723,1705,False,False,True,32
006_roman_to_integer,easy,meowmax,1,minimaxm27,True,1.0,8,0.1678578,37933,33888,1131,False,False,True,13
013_coin_change,medium,formal_plus,1,minimaxm27,True,1.0,7,0.175188,33773,33897,1623,False,False,True,15
003_valid_parentheses,easy,formal_plus,1,minimaxm27,True,1.0,7,0.1553687999999999,38686,31186,818,False,False,False,14
013_coin_change,medium,formal_lite,1,minimaxm27,True,1.0,1,0.3123321999999999,4749,975,60,False,False,False,15
019_sliding_window_maximum,hard,meow_lite,1,minimaxm27,True,1.0,10,0.1991382,43113,34509,1112,False,False,True,28
011_sort_colors,medium,meowmax,1,minimaxm27,True,1.0,11,0.2162076,68136,32319,1935,False,False,True,24
019_sliding_window_maximum,hard,formal_plus,1,minimaxm27,True,1.0,13,0.242619,85382,35998,2207,False,False,True,29
012_validate_bst,medium,baseline,1,minimaxm27,True,1.0,14,0.2836008,132302,32503,4353,False,False,True,17
009_lru_cache,medium,meow_lite,1,minimaxm27,True,1.0,11,0.2265983999999999,104027,33336,2264,False,False,True,28
001_two_sum,easy,formal_lite,1,minimaxm27,True,1.0,8,0.1518288,24575,33637,791,False,False,True,9
010_binary_tree_level_order,medium,meow_lite,1,minimaxm27,False,0.8,10,0.2047452,47769,32242,1856,False,False,True,28
007_group_anagrams,medium,formal_lite,1,minimaxm27,True,1.0,8,0.1655556,32125,31193,817,False,False,False,10
010_binary_tree_level_order,medium,meowmax,1,minimaxm27,False,0.8,12,0.308583,167604,33611,6378,False,False,True,32
017_word_ladder,hard,formal_lite,1,minimaxm27,True,1.0,10,0.1257738,142571,2919,1780,False,False,True,30
020_longest_valid_parentheses,hard,meow_lite,1,minimaxm27,True,1.0,12,0.4470306,149360,35551,4961,False,False,True,18
010_binary_tree_level_order,medium,formal_plus,1,minimaxm27,False,0.8,11,0.3301583999999999,74916,35038,2017,False,False,True,32
005_palindrome_number,easy,meow_lite,1,minimaxm27,True,1.0,7,0.1637868,34719,33762,904,False,False,True,17
018_serialize_binary_tree,hard,formal_plus,1,minimaxm27,True,1.0,15,0.2885934,86631,36681,3664,False,False,False,33
020_longest_valid_parentheses,hard,formal_lite,1,minimaxm27,True,1.0,8,0.179049,41701,34004,1219,False,False,True,38
018_serialize_binary_tree,hard,baseline,1,minimaxm27,True,1.0,8,0.165339,37905,34107,902,False,False,True,11
007_group_anagrams,medium,meowmax,1,minimaxm27,True,1.0,18,0.3019272,87827,36866,1874,False,False,True,10
009_lru_cache,medium,baseline,1,minimaxm27,True,1.0,13,0.220839,83566,33355,1906,False,False,True,23
015_merge_k_sorted_lists,hard,meowmax,1,minimaxm27,True,1.0,11,0.2065991999999999,50445,34929,1439,False,False,True,26
019_sliding_window_maximum,hard,baseline,1,minimaxm27,True,1.0,10,0.1830702,51517,31954,1787,False,False,True,29
